show_id,type,title,rating,duration,listed_in,description,year_added,tagged_description,categorie,emotion
s12,TV Show,Bangkok Breaking,TV-MA,1 Season,"Crime TV Shows, International TV Shows, TV Action & Adventure","Struggling to earn a living in Bangkok, a man joins an emergency rescue service and realizes he must unravel a citywide conspiracy.",2021,"s12 Struggling to earn a living in Bangkok, a man joins an emergency rescue service and realizes he must unravel a citywide conspiracy.",Crime TV Shows,neutral
s13,Movie,Je Suis Karl,TV-MA,127 min,"Dramas, International Movies","After most of her family is murdered in a terrorist bombing, a young woman is unknowingly lured into joining the very group that killed them.",2021,"s13 After most of her family is murdered in a terrorist bombing, a young woman is unknowingly lured into joining the very group that killed them.",Dramas,disgust
s14,Movie,Confessions of an Invisible Girl,TV-PG,91 min,"Children & Family Movies, Comedies","When the clever but socially-awkward TetÃª joins a new school, she'll do anything to fit in. But the queen bee among her classmates has other ideas.",2021,"s14 When the clever but socially-awkward TetÃª joins a new school, she'll do anything to fit in. But the queen bee among her classmates has other ideas.",Children & Family Movies,neutral
s15,TV Show,Crime Stories: India Detectives,TV-MA,1 Season,"British TV Shows, Crime TV Shows, Docuseries",Cameras following Bengaluru police on the job offer a rare glimpse into the complex and challenging inner workings of four major crime investigations.,2021,s15 Cameras following Bengaluru police on the job offer a rare glimpse into the complex and challenging inner workings of four major crime investigations.,British TV Shows,neutral
s16,TV Show,Dear White People,TV-MA,4 Seasons,"TV Comedies, TV Dramas","Students of color navigate the daily slights and slippery politics of life at an Ivy League college that's not nearly as ""post-racial"" as it thinks.",2021,"s16 Students of color navigate the daily slights and slippery politics of life at an Ivy League college that's not nearly as ""post-racial"" as it thinks.",TV Comedies,neutral
s17,Movie,Europe's Most Dangerous Man: Otto Skorzeny in Spain,TV-MA,67 min,"Documentaries, International Movies","Declassified documents reveal the post-WWII life of Otto Skorzeny, a close Hitler ally who escaped to Spain and became an adviser to world presidents.",2021,"s17 Declassified documents reveal the post-WWII life of Otto Skorzeny, a close Hitler ally who escaped to Spain and became an adviser to world presidents.",Documentaries,neutral
s18,TV Show,Falsa identidad,TV-MA,2 Seasons,"Crime TV Shows, Spanish-Language TV Shows, TV Dramas",Strangers Diego and Isabel flee their home in Mexico and pretend to be a married couple to escape his drug-dealing enemies and her abusive husband.,2021,s18 Strangers Diego and Isabel flee their home in Mexico and pretend to be a married couple to escape his drug-dealing enemies and her abusive husband.,Crime TV Shows,neutral
s19,Movie,Intrusion,TV-14,94 min,Thrillers,"After a deadly home invasion at a coupleâs new dream house, the traumatized wife searches for answers â and learns the real danger is just beginning.",2021,"s19 After a deadly home invasion at a coupleâs new dream house, the traumatized wife searches for answers â and learns the real danger is just beginning.",Thrillers,fear
s20,TV Show,Jaguar,TV-MA,1 Season,"International TV Shows, Spanish-Language TV Shows, TV Action & Adventure","In the 1960s, a Holocaust survivor joins a group of self-trained spies who seek justice against Nazis fleeing to Spain to hide after WWII.",2021,"s20 In the 1960s, a Holocaust survivor joins a group of self-trained spies who seek justice against Nazis fleeing to Spain to hide after WWII.",International TV Shows,disgust
s21,TV Show,Monsters Inside: The 24 Faces of Billy Milligan,TV-14,1 Season,"Crime TV Shows, Docuseries, International TV Shows","In the late 1970s, an accused serial rapist claims multiple personalities control his behavior, setting off a legal odyssey that captivates America.",2021,"s21 In the late 1970s, an accused serial rapist claims multiple personalities control his behavior, setting off a legal odyssey that captivates America.",Crime TV Shows,disgust
s22,TV Show,Resurrection: Ertugrul,TV-14,5 Seasons,"International TV Shows, TV Action & Adventure, TV Dramas","When a good deed unwittingly endangers his clan, a 13th-century Turkish warrior agrees to fight a sultan's enemies in exchange for new tribal land.",2021,"s22 When a good deed unwittingly endangers his clan, a 13th-century Turkish warrior agrees to fight a sultan's enemies in exchange for new tribal land.",International TV Shows,disgust
s23,Movie,Avvai Shanmughi,TV-PG,161 min,"Comedies, International Movies","Newly divorced and denied visitation rights with his daughter, a doting father disguises himself as a gray-haired nanny in order to spend time with her.",2021,"s23 Newly divorced and denied visitation rights with his daughter, a doting father disguises himself as a gray-haired nanny in order to spend time with her.",Comedies,disgust
s24,Movie,Go! Go! Cory Carson: Chrissy Takes the Wheel,TV-Y,61 min,Children & Family Movies,"From arcade games to sled days and hiccup cures, Cory Carsonâs curious little sister Chrissy speeds off on her own for fun and adventure all over town!",2021,"s24 From arcade games to sled days and hiccup cures, Cory Carsonâs curious little sister Chrissy speeds off on her own for fun and adventure all over town!",Children & Family Movies,joy
s25,Movie,Jeans,TV-14,166 min,"Comedies, International Movies, Romantic Movies","When the father of the man she loves insists that his twin sons marry twin sisters, a woman creates an alter ego that might be a bit too convincing.",2021,"s25 When the father of the man she loves insists that his twin sons marry twin sisters, a woman creates an alter ego that might be a bit too convincing.",Comedies,disgust
s26,TV Show,Love on the Spectrum,TV-14,2 Seasons,"Docuseries, International TV Shows, Reality TV","Finding love can be hard for anyone. For young adults on the autism spectrum, exploring the unpredictable world of dating is even more complicated.",2021,"s26 Finding love can be hard for anyone. For young adults on the autism spectrum, exploring the unpredictable world of dating is even more complicated.",Docuseries,neutral
s27,Movie,Minsara Kanavu,TV-PG,147 min,"Comedies, International Movies, Music & Musicals",A tangled love triangle ensues when a man falls for a woman studying to become a nun â and she falls for the friend he enlists to help him pursue her.,2021,s27 A tangled love triangle ensues when a man falls for a woman studying to become a nun â and she falls for the friend he enlists to help him pursue her.,Comedies,disgust
s28,Movie,Grown Ups,PG-13,103 min,Comedies,"Mourning the loss of their beloved junior high basketball coach, five middle-aged pals reunite at a lake house and rediscover the joys of being a kid.",2021,"s28 Mourning the loss of their beloved junior high basketball coach, five middle-aged pals reunite at a lake house and rediscover the joys of being a kid.",Comedies,sadness
s29,Movie,Dark Skies,PG-13,97 min,"Horror Movies, Sci-Fi & Fantasy","A familyâs idyllic suburban life shatters when an alien force invades their home, and as they struggle to convince others of the deadly threat.",2021,"s29 A familyâs idyllic suburban life shatters when an alien force invades their home, and as they struggle to convince others of the deadly threat.",Horror Movies,fear
s30,Movie,Paranoia,PG-13,106 min,Thrillers,"Blackmailed by his company's CEO, a low-level employee finds himself forced to spy on the boss's rival and former mentor.",2021,"s30 Blackmailed by his company's CEO, a low-level employee finds himself forced to spy on the boss's rival and former mentor.",Thrillers,disgust
s31,Movie,Ankahi Kahaniya,TV-14,111 min,"Dramas, Independent Movies, International Movies","As big city life buzzes around them, lonely souls discover surprising sources of connection and companionship in three tales of love, loss and longing.",2021,"s31 As big city life buzzes around them, lonely souls discover surprising sources of connection and companionship in three tales of love, loss and longing.",Dramas,surprise
s32,TV Show,Chicago Party Aunt,TV-MA,1 Season,TV Comedies,Chicago Party Aunt Diane is an idolized troublemaker with a talent for avoiding adulthood â and a soft spot for her soul-searching nephew.,2021,s32 Chicago Party Aunt Diane is an idolized troublemaker with a talent for avoiding adulthood â and a soft spot for her soul-searching nephew.,TV Comedies,sadness
s33,TV Show,Sex Education,TV-MA,3 Seasons,"British TV Shows, International TV Shows, TV Comedies","Insecure Otis has all the answers when it comes to sex advice, thanks to his therapist mom. So rebel Maeve proposes a school sex-therapy clinic.",2021,"s33 Insecure Otis has all the answers when it comes to sex advice, thanks to his therapist mom. So rebel Maeve proposes a school sex-therapy clinic.",British TV Shows,neutral
s34,TV Show,Squid Game,TV-MA,1 Season,"International TV Shows, TV Dramas, TV Thrillers","Hundreds of cash-strapped players accept a strange invitation to compete in children's games. Inside, a tempting prize awaits â with deadly high stakes.",2021,"s34 Hundreds of cash-strapped players accept a strange invitation to compete in children's games. Inside, a tempting prize awaits â with deadly high stakes.",International TV Shows,neutral
s35,TV Show,Tayo and Little Wizards,TV-Y7,1 Season,Kids' TV,Tayo speeds into an adventure when his friends get kidnapped by evil magicians invading their city in search of a magical gemstone.,2021,s35 Tayo speeds into an adventure when his friends get kidnapped by evil magicians invading their city in search of a magical gemstone.,Kids' TV,fear
s36,Movie,The Father Who Moves Mountains,TV-MA,110 min,"Dramas, International Movies, Thrillers","When his son goes missing during a snowy hike in the mountains, a retired intelligence officer will stop at nothing â and risk everything â to find him.",2021,"s36 When his son goes missing during a snowy hike in the mountains, a retired intelligence officer will stop at nothing â and risk everything â to find him.",Dramas,fear
s37,Movie,The Stronghold,TV-MA,105 min,"Action & Adventure, Dramas, International Movies","Tired of the small-time grind, three Marseille cops get a chance to bust a major drug network. But lines blur when a key informant makes a big ask.",2021,"s37 Tired of the small-time grind, three Marseille cops get a chance to bust a major drug network. But lines blur when a key informant makes a big ask.",Action & Adventure,neutral
s38,TV Show,Angry Birds,TV-Y7,1 Season,"Kids' TV, TV Comedies","Birds Red, Chuck and their feathered friends have lots of adventures while guarding eggs in their nest that pesky pigs keep trying to steal.",2021,"s38 Birds Red, Chuck and their feathered friends have lots of adventures while guarding eggs in their nest that pesky pigs keep trying to steal.",Kids' TV,neutral
s39,Movie,Birth of the Dragon,PG-13,96 min,"Action & Adventure, Dramas","A young Bruce Lee angers kung fu traditionalists by teaching outsiders, leading to a showdown with a Shaolin master in this film based on real events.",2021,"s39 A young Bruce Lee angers kung fu traditionalists by teaching outsiders, leading to a showdown with a Shaolin master in this film based on real events.",Action & Adventure,disgust
s40,TV Show,Chhota Bheem,TV-Y7,3 Seasons,Kids' TV,"A brave, energetic little boy with superhuman powers leads his friends on exciting adventures to guard their fellow Dholakpur villagers from evil.",2021,"s40 A brave, energetic little boy with superhuman powers leads his friends on exciting adventures to guard their fellow Dholakpur villagers from evil.",Kids' TV,neutral
s41,TV Show,He-Man and the Masters of the Universe,TV-Y7,1 Season,"Kids' TV, TV Sci-Fi & Fantasy",Mighty teen Adam and his heroic squad of misfits discover the legendary power of Grayskull â and their destiny to defend Eternia from sinister Skeletor.,2021,s41 Mighty teen Adam and his heroic squad of misfits discover the legendary power of Grayskull â and their destiny to defend Eternia from sinister Skeletor.,Kids' TV,fear
s42,Movie,Jaws,PG,124 min,"Action & Adventure, Classic Movies, Dramas","When an insatiable great white shark terrorizes Amity Island, a police chief, an oceanographer and a grizzled shark hunter seek to destroy the beast.",2021,"s42 When an insatiable great white shark terrorizes Amity Island, a police chief, an oceanographer and a grizzled shark hunter seek to destroy the beast.",Action & Adventure,fear
s43,Movie,Jaws 2,PG,116 min,"Dramas, Horror Movies, Thrillers","Four years after the last deadly shark attacks, police chief Martin Brody fights to protect Amity Island from another killer great white.",2021,"s43 Four years after the last deadly shark attacks, police chief Martin Brody fights to protect Amity Island from another killer great white.",Dramas,fear
s44,Movie,Jaws 3,PG,98 min,"Action & Adventure, Horror Movies, Thrillers","After the staff of a marine theme park try to capture a young great white shark, they discover its mother has invaded the enclosure and is out for blood.",2021,"s44 After the staff of a marine theme park try to capture a young great white shark, they discover its mother has invaded the enclosure and is out for blood.",Action & Adventure,disgust
s45,Movie,Jaws: The Revenge,PG-13,91 min,"Action & Adventure, Horror Movies, Thrillers","After another deadly shark attack, Ellen Brody has had enough of Amity Island and moves to the Caribbean â but a great white shark follows her there.",2021,"s45 After another deadly shark attack, Ellen Brody has had enough of Amity Island and moves to the Caribbean â but a great white shark follows her there.",Action & Adventure,fear
s46,Movie,My Heroes Were Cowboys,PG,23 min,Documentaries,"Robin Wiltshire's painful childhood was rescued by Westerns. Now he lives on the frontier of his dreams, training the horses he loves for the big screen.",2021,"s46 Robin Wiltshire's painful childhood was rescued by Westerns. Now he lives on the frontier of his dreams, training the horses he loves for the big screen.",Documentaries,sadness
s47,Movie,Safe House,R,115 min,Action & Adventure,Young CIA operative Matt Weston must get a dangerous criminal out of an agency safe house that's come under attack and get him to a securer location.,2021,s47 Young CIA operative Matt Weston must get a dangerous criminal out of an agency safe house that's come under attack and get him to a securer location.,Action & Adventure,fear
s48,TV Show,The Smart Money Woman,TV-MA,1 Season,"International TV Shows, Romantic TV Shows, TV Comedies","Five glamorous millennials strive for success as they juggle careers, finances, love and friendships. Based on Arese Ugwu's 2016 best-selling novel.",2021,"s48 Five glamorous millennials strive for success as they juggle careers, finances, love and friendships. Based on Arese Ugwu's 2016 best-selling novel.",International TV Shows,joy
s49,Movie,Training Day,R,122 min,"Dramas, Thrillers",A rookie cop with one day to prove himself to a veteran LAPD narcotics officer receives a crash course in his mentor's questionable brand of justice.,2021,s49 A rookie cop with one day to prove himself to a veteran LAPD narcotics officer receives a crash course in his mentor's questionable brand of justice.,Dramas,disgust
s50,TV Show,Castle and Castle,TV-MA,2 Seasons,"International TV Shows, TV Dramas","A pair of high-powered, successful lawyers find themselves defending opposite interests of the justice system, causing a strain on their happy marriage.",2021,"s50 A pair of high-powered, successful lawyers find themselves defending opposite interests of the justice system, causing a strain on their happy marriage.",International TV Shows,neutral
s51,TV Show,Dharmakshetra,TV-PG,1 Season,"International TV Shows, TV Dramas, TV Sci-Fi & Fantasy","After the ancient Great War, the god Chitragupta oversees a trial to determine who were the battle's true heroes and villains.",2021,"s51 After the ancient Great War, the god Chitragupta oversees a trial to determine who were the battle's true heroes and villains.",International TV Shows,neutral
s52,Movie,InuYasha the Movie 2: The Castle Beyond the Looking Glass,TV-14,99 min,"Action & Adventure, Anime Features, International Movies","With their biggest foe seemingly defeated, InuYasha and his friends return to everyday life. But the peace is soon shattered by an emerging new enemy.",2021,"s52 With their biggest foe seemingly defeated, InuYasha and his friends return to everyday life. But the peace is soon shattered by an emerging new enemy.",Action & Adventure,sadness
s53,Movie,InuYasha the Movie 3: Swords of an Honorable Ruler,TV-14,99 min,"Action & Adventure, Anime Features, International Movies",The Great Dog Demon beaqueathed one of the Three Swords of the Fang to each of his two sons. Now the evil power of the third sword has been awakened.,2021,s53 The Great Dog Demon beaqueathed one of the Three Swords of the Fang to each of his two sons. Now the evil power of the third sword has been awakened.,Action & Adventure,disgust
s54,Movie,InuYasha the Movie 4: Fire on the Mystic Island,TV-PG,88 min,"Action & Adventure, Anime Features, International Movies","Ai, a young half-demon who has escaped from Horai Island to try to help her people, returns with potential saviors InuYasha, Sesshomaru and Kikyo.",2021,"s54 Ai, a young half-demon who has escaped from Horai Island to try to help her people, returns with potential saviors InuYasha, Sesshomaru and Kikyo.",Action & Adventure,neutral
s55,Movie,InuYasha the Movie: Affections Touching Across Time,TV-PG,100 min,"Action & Adventure, Anime Features, International Movies","A powerful demon has been sealed away for 200 years. But when the demon's son is awakened, the fate of the world is in jeopardy.",2021,"s55 A powerful demon has been sealed away for 200 years. But when the demon's son is awakened, the fate of the world is in jeopardy.",Action & Adventure,fear
s56,TV Show,Nailed It,TV-PG,6 Seasons,Reality TV,"Home bakers with a terrible track record take a crack at re-creating edible masterpieces for a $10,000 prize. It's part reality contest, part hot mess.",2021,"s56 Home bakers with a terrible track record take a crack at re-creating edible masterpieces for a $10,000 prize. It's part reality contest, part hot mess.",Reality TV,disgust
s57,Movie,Naruto Shippuden the Movie: Blood Prison,TV-14,102 min,"Action & Adventure, Anime Features, International Movies","Mistakenly accused of an attack on the Fourth Raikage, ninja Naruto is imprisoned in the impenetrable Hozuki Castle and his powers are sealed.",2021,"s57 Mistakenly accused of an attack on the Fourth Raikage, ninja Naruto is imprisoned in the impenetrable Hozuki Castle and his powers are sealed.",Action & Adventure,fear
s58,Movie,Naruto ShippÃ»den the Movie: Bonds,TV-PG,93 min,"Action & Adventure, Anime Features, International Movies","When strange ninjas ambush the village of Konohagakure, it's up to adolescent ninja Naruto and his long-missing pal, Sasuke, to save the planet.",2021,"s58 When strange ninjas ambush the village of Konohagakure, it's up to adolescent ninja Naruto and his long-missing pal, Sasuke, to save the planet.",Action & Adventure,fear
s59,Movie,Naruto ShippÃ»den the Movie: The Will of Fire,TV-PG,96 min,"Action & Adventure, Anime Features, International Movies","When four out of five ninja villages are destroyed, the leader of the one spared tries to find the true culprit and protect his land.",2021,"s59 When four out of five ninja villages are destroyed, the leader of the one spared tries to find the true culprit and protect his land.",Action & Adventure,anger
s60,Movie,Naruto Shippuden: The Movie,TV-PG,95 min,"Action & Adventure, Anime Features, International Movies","The adventures of adolescent ninja Naruto Uzumaki continue as he's tasked with protecting a priestess from a demon â but to do so, he must die.",2021,"s60 The adventures of adolescent ninja Naruto Uzumaki continue as he's tasked with protecting a priestess from a demon â but to do so, he must die.",Action & Adventure,sadness
s61,Movie,Naruto Shippuden: The Movie: The Lost Tower,TV-14,85 min,"Action & Adventure, Anime Features, International Movies","When Naruto is sent to recover a missing nin, the rogue manages to send him 20 years into the past, where he unites with his father to battle evil.",2021,"s61 When Naruto is sent to recover a missing nin, the rogue manages to send him 20 years into the past, where he unites with his father to battle evil.",Action & Adventure,neutral
s62,Movie,Naruto the Movie 2: Legend of the Stone of Gelel,TV-PG,97 min,"Action & Adventure, Anime Features, International Movies","While on a mission to return a missing pet, Naruto and two fellow ninjas are ambushed by brutal knights led by the enigmatic Temujin.",2021,"s62 While on a mission to return a missing pet, Naruto and two fellow ninjas are ambushed by brutal knights led by the enigmatic Temujin.",Action & Adventure,fear
s63,Movie,Naruto the Movie 3: Guardians of the Crescent Moon Kingdom,TV-PG,95 min,"Action & Adventure, Anime Features, International Movies","Exuberant ninja Naruto teams up with his pals Sakura and Kakashi to escort Prince Michiru and his son, Hikaru, to the Crescent Moon kingdom.",2021,"s63 Exuberant ninja Naruto teams up with his pals Sakura and Kakashi to escort Prince Michiru and his son, Hikaru, to the Crescent Moon kingdom.",Action & Adventure,neutral
s64,Movie,Naruto the Movie: Ninja Clash in the Land of Snow,TV-PG,83 min,"Action & Adventure, Anime Features, International Movies","Naruto, Sasuke and Sakura learn they'll be protecting an actress from being hurt while making her next film, but it turns out she's a princess.",2021,"s64 Naruto, Sasuke and Sakura learn they'll be protecting an actress from being hurt while making her next film, but it turns out she's a princess.",Action & Adventure,sadness
s65,Movie,Nightbooks,TV-PG,103 min,Children & Family Movies,Scary story fan Alex must tell a spine-tingling tale every night â or stay trapped with his new friend in a wicked witch's magical apartment forever.,2021,s65 Scary story fan Alex must tell a spine-tingling tale every night â or stay trapped with his new friend in a wicked witch's magical apartment forever.,Children & Family Movies,fear
s66,TV Show,Numberblocks,TV-Y,6 Seasons,Kids' TV,"In a place called Numberland, math adds up to tons of fun when a group of cheerful blocks work, play and sing together.",2021,"s66 In a place called Numberland, math adds up to tons of fun when a group of cheerful blocks work, play and sing together.",Kids' TV,joy
s67,TV Show,Raja Rasoi Aur Anya Kahaniyan,TV-G,1 Season,"Docuseries, International TV Shows","Explore the history and flavors of regional Indian cuisine, from traditional Kashmiri feasts to the vegetarian dishes of Gujarat.",2021,"s67 Explore the history and flavors of regional Indian cuisine, from traditional Kashmiri feasts to the vegetarian dishes of Gujarat.",Docuseries,neutral
s68,TV Show,Saved by the Bell,TV-PG,9 Seasons,"Kids' TV, TV Comedies","From middle school to college, best friends Zack, Kelly, Slater, Jessie, Screech and Lisa take on the highs and lows of life together in this hit series.",2021,"s68 From middle school to college, best friends Zack, Kelly, Slater, Jessie, Screech and Lisa take on the highs and lows of life together in this hit series.",Kids' TV,neutral
s69,Movie,Schumacher,TV-14,113 min,"Documentaries, International Movies, Sports Movies","Through exclusive interviews and archival footage, this documentary traces an intimate portrait of seven-time Formula 1 champion Michael Schumacher.",2021,"s69 Through exclusive interviews and archival footage, this documentary traces an intimate portrait of seven-time Formula 1 champion Michael Schumacher.",Documentaries,neutral
s70,TV Show,Stories by Rabindranath Tagore,TV-PG,1 Season,"International TV Shows, TV Dramas",The writings of Nobel Prize winner Rabindranath Tagore come to life in this collection of tales set in early-20th-century Bengal.,2021,s70 The writings of Nobel Prize winner Rabindranath Tagore come to life in this collection of tales set in early-20th-century Bengal.,International TV Shows,neutral
s71,TV Show,Too Hot To Handle: Latino,TV-MA,1 Season,"International TV Shows, Reality TV, Romantic TV Shows","On this reality show, singles from Latin America and Spain are challenged to give up sex. But here, abstinence comes with a silver lining: US$100,000.",2021,"s71 On this reality show, singles from Latin America and Spain are challenged to give up sex. But here, abstinence comes with a silver lining: US$100,000.",International TV Shows,neutral
s72,Movie,A StoryBots Space Adventure,TV-Y,13 min,Children & Family Movies,Join the StoryBots and the space travelers of the historic Inspiration4 mission as they search for answers to kids' questions about space.,2021,s72 Join the StoryBots and the space travelers of the historic Inspiration4 mission as they search for answers to kids' questions about space.,Children & Family Movies,neutral
s73,TV Show,Jack Whitehall: Travels with My Father,TV-MA,5 Seasons,"British TV Shows, Docuseries, International TV Shows","Jovial comic Jack Whitehall invites his stuffy father, Michael, to travel with him through Southeast Asia in an attempt to strengthen their bond.",2021,"s73 Jovial comic Jack Whitehall invites his stuffy father, Michael, to travel with him through Southeast Asia in an attempt to strengthen their bond.",British TV Shows,neutral
s74,Movie,King of Boys,TV-MA,182 min,"Dramas, International Movies","When a powerful businesswomanâs political ambitions are threatened by her underworld connections, the ensuing power struggle could cost her everything.",2021,"s74 When a powerful businesswomanâs political ambitions are threatened by her underworld connections, the ensuing power struggle could cost her everything.",Dramas,fear
s75,TV Show,The World's Most Amazing Vacation Rentals,TV-PG,2 Seasons,Reality TV,"With an eye for every budget, three travelers visit vacation rentals around the globe and share their expert tips and tricks in this reality series.",2021,"s75 With an eye for every budget, three travelers visit vacation rentals around the globe and share their expert tips and tricks in this reality series.",Reality TV,neutral
s76,Movie,You vs. Wild: Out Cold,TV-G,106 min,Children & Family Movies,"After a plane crash leaves Bear with amnesia, he must make choices to save the missing pilot and survive in this high-stakes interactive adventure.",2021,"s76 After a plane crash leaves Bear with amnesia, he must make choices to save the missing pilot and survive in this high-stakes interactive adventure.",Children & Family Movies,neutral
s77,TV Show,Yowamushi Pedal,TV-14,1 Season,"Anime Series, International TV Shows","A timid, anime-loving teen gets drawn into a school cycling club, where his new friends help him face tough challenges to develop his racing talent.",2021,"s77 A timid, anime-loving teen gets drawn into a school cycling club, where his new friends help him face tough challenges to develop his racing talent.",Anime Series,fear
s78,Movie,Little Singham - Black Shadow,TV-Y7,48 min,"Children & Family Movies, Comedies",Kid cop Little Singham loses all his superpowers while trying to stop the demon Kaalâs new evil plans! Can his inner strength help him defeat the enemy?,2021,s78 Kid cop Little Singham loses all his superpowers while trying to stop the demon Kaalâs new evil plans! Can his inner strength help him defeat the enemy?,Children & Family Movies,anger
s79,Movie,Tughlaq Durbar,TV-14,145 min,"Comedies, Dramas, International Movies",A budding politician has devious plans to rise in the ranks â until an unexpected new presence begins to interfere with his every crooked move.,2021,s79 A budding politician has devious plans to rise in the ranks â until an unexpected new presence begins to interfere with his every crooked move.,Comedies,disgust
s80,Movie,Tughlaq Durbar (Telugu),TV-14,145 min,"Comedies, Dramas, International Movies",A budding politician has devious plans to rise in the ranks â until an unexpected new presence begins to interfere with his every crooked move.,2021,s80 A budding politician has devious plans to rise in the ranks â until an unexpected new presence begins to interfere with his every crooked move.,Comedies,disgust
s81,Movie,Firedrake the Silver Dragon,TV-Y7,93 min,Children & Family Movies,"When his home is threatened by humans, a young dragon summons the courage to seek a mythical paradise where dragons can live in peace and fly free.",2021,"s81 When his home is threatened by humans, a young dragon summons the courage to seek a mythical paradise where dragons can live in peace and fly free.",Children & Family Movies,fear
s82,Movie,Kate,R,106 min,Action & Adventure,"Slipped a fatal poison on her final job, a ruthless assassin working in Tokyo has less than 24 hours to find out who ordered the hit and exact revenge.",2021,"s82 Slipped a fatal poison on her final job, a ruthless assassin working in Tokyo has less than 24 hours to find out who ordered the hit and exact revenge.",Action & Adventure,anger
s83,TV Show,Lucifer,TV-14,6 Seasons,"Crime TV Shows, TV Comedies, TV Dramas","Bored with being the Lord of Hell, the devil relocates to Los Angeles, where he opens a nightclub and forms a connection with a homicide detective.",2021,"s83 Bored with being the Lord of Hell, the devil relocates to Los Angeles, where he opens a nightclub and forms a connection with a homicide detective.",Crime TV Shows,disgust
s84,TV Show,Metal Shop Masters,TV-MA,1 Season,Reality TV,"On this competition show, a group of metal artists torch, cut and weld epic, badass creations from hardened steel. Only one will win a $50,000 prize.",2021,"s84 On this competition show, a group of metal artists torch, cut and weld epic, badass creations from hardened steel. Only one will win a $50,000 prize.",Reality TV,neutral
